"POLITICAL_UNIT","NAME","WGMS_ID","YEAR","LOWER_BOUND","UPPER_BOUND","AREA","WINTER_BALANCE","WINTER_BALANCE_UNC","SUMMER_BALANCE","SUMMER_BALANCE_UNC","ANNUAL_BALANCE","ANNUAL_BALANCE_UNC","REMARKS"
"AQ","BAHIA DEL DIABLO",2665,2003,9999,9999,12.9000000,,,,,-180,30.00000,"Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -150 mm w.e."
"AQ","BAHIA DEL DIABLO",2665,2004,38,112,,,,,,-1400,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2004,112,188,,,,,,-700,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2004,188,262,,,,,,-300,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2004,262,338,,,,,,-250,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2004,338,412,,,,,,-25,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2004,412,488,,,,,,150,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2004,488,562,,,,,,300,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2004,562,638,,,,,,125,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2004,9999,9999,12.9000000,,,,,-120,30.00000,"Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -110 mm w.e."
"AQ","BAHIA DEL DIABLO",2665,2005,38,112,,,,,,-1700,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2005,112,188,,,,,,-900,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2005,188,262,,,,,,-450,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2005,262,338,,,,,,-350,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2005,338,412,,,,,,-100,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2005,412,488,,,,,,100,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2005,488,562,,,,,,225,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2005,562,638,,,,,,50,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2005,9999,9999,12.9000000,,,,,-140,30.00000,"Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -230 mm w.e."
"AQ","BAHIA DEL DIABLO",2665,2006,38,112,,,,,,-2300,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2006,112,188,,,,,,-1650,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2006,188,262,,,,,,-850,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2006,262,338,,,,,,-550,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2006,338,412,,,,,,-350,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2006,412,488,,,,,,50,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2006,488,562,,,,,,125,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2006,562,638,,,,,,-50,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2006,9999,9999,12.9000000,,,,,-450,30.00000,"Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -580 mm w.e."
"AQ","BAHIA DEL DIABLO",2665,2007,38,112,,,,,,-1400,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2007,112,188,,,,,,-1000,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2007,188,262,,,,,,-550,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2007,262,338,,,,,,-250,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2007,338,412,,,,,,0,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2007,412,488,,,,,,150,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2007,488,562,,,,,,500,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2007,562,638,,,,,,200,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2007,9999,9999,12.9000000,,,,,-140,30.00000,"Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -80 mm w.e."
"AQ","BAHIA DEL DIABLO",2665,2008,38,112,,,,,,-2300,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2008,112,188,,,,,,-1500,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2008,188,262,,,,,,-650,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2008,262,338,,,,,,-400,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2008,338,412,,,,,,-250,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2008,412,488,,,,,,50,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2008,488,562,,,,,,75,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2008,562,638,,,,,,-40,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2008,9999,9999,12.9000000,,,,,-440,30.00000,"Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -530 mm w.e."
"AQ","BAHIA DEL DIABLO",2665,2009,38,112,,,,,,-2000,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2009,112,188,,,,,,-1700,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2009,188,262,,,,,,-1200,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2009,262,338,,,,,,-600,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2009,338,412,,,,,,-100,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2009,412,488,,,,,,300,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2009,488,562,,,,,,450,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2009,562,638,,,,,,325,,"Balance based on old area."
"AQ","BAHIA DEL DIABLO",2665,2009,9999,9999,12.9000000,,,,,-330,30.00000,"Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; -255 mm w.e."
"AQ","BAHIA DEL DIABLO",2665,2010,38,112,,,,,,0,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2010,112,188,,,,,,200,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2010,188,262,,,,,,100,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2010,262,338,,,,,,300,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2010,338,412,,,,,,420,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2010,412,488,,,,,,600,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2010,488,562,,,,,,400,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2010,562,630,,,,,,600,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2010,9999,9999,12.9000000,,,,,370,30.00000,"Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; 370 mm w.e."
"AQ","BAHIA DEL DIABLO",2665,2011,38,112,,,,,,-1300,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2011,112,188,,,,,,-700,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2011,188,262,,,,,,-300,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2011,262,338,,,,,,-100,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2011,338,412,,,,,,240,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2011,412,488,,,,,,430,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2011,488,562,,,,,,700,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2011,562,630,,,,,,200,,"Value has been revised according to new glacier area (Marinsek, 2013)."
"AQ","BAHIA DEL DIABLO",2665,2011,9999,9999,12.9000000,,,,,20,30.00000,"Value has been revised according to new glacier area (Marinsek, 2013). Old values: 14.3 km2; 60 mm w.e."
"AQ","BAHIA DEL DIABLO",2665,2012,38,112,,,,,,-1500,,
"AQ","BAHIA DEL DIABLO",2665,2012,112,188,,,,,,-750,,
"AQ","BAHIA DEL DIABLO",2665,2012,188,262,,,,,,-550,,
"AQ","BAHIA DEL DIABLO",2665,2012,262,338,,,,,,-200,,
"AQ","BAHIA DEL DIABLO",2665,2012,338,412,,,,,,0,,
"AQ","BAHIA DEL DIABLO",2665,2012,412,488,,,,,,450,,
"AQ","BAHIA DEL DIABLO",2665,2012,488,562,,,,,,380,,
"AQ","BAHIA DEL DIABLO",2665,2012,562,630,,,,,,350,,
"AQ","BAHIA DEL DIABLO",2665,2012,9999,9999,12.9000000,,,,,-20,30.00000,
"AQ","BAHIA DEL DIABLO",2665,2013,38,112,,,,,,-600,,
"AQ","BAHIA DEL DIABLO",2665,2013,112,188,,,,,,-500,,
"AQ","BAHIA DEL DIABLO",2665,2013,188,262,,,,,,-250,,
"AQ","BAHIA DEL DIABLO",2665,2013,262,338,,,,,,50,,
"AQ","BAHIA DEL DIABLO",2665,2013,338,412,,,,,,400,,
"AQ","BAHIA DEL DIABLO",2665,2013,412,488,,,,,,470,,
"AQ","BAHIA DEL DIABLO",2665,2013,488,562,,,,,,500,,
"AQ","BAHIA DEL DIABLO",2665,2013,562,630,,,,,,250,,
"AQ","BAHIA DEL DIABLO",2665,2013,9999,9999,12.9000000,,,,,100,30.00000,
"AQ","BAHIA DEL DIABLO",2665,2014,38,112,,,,,,-600,,
"AQ","BAHIA DEL DIABLO",2665,2014,112,188,,,,,,-200,,
"AQ","BAHIA DEL DIABLO",2665,2014,188,262,,,,,,-180,,
"AQ","BAHIA DEL DIABLO",2665,2014,262,338,,,,,,-100,,
"AQ","BAHIA DEL DIABLO",2665,2014,338,412,,,,,,250,,
"AQ","BAHIA DEL DIABLO",2665,2014,412,488,,,,,,470,,
"AQ","BAHIA DEL DIABLO",2665,2014,488,562,,,,,,550,,
"AQ","BAHIA DEL DIABLO",2665,2014,562,630,,,,,,600,,
"AQ","BAHIA DEL DIABLO",2665,2014,9999,9999,12.9000000,,,,,190,10.00000,
"AQ","BAHIA DEL DIABLO",2665,2015,38,112,,,,,,-1300,,
"AQ","BAHIA DEL DIABLO",2665,2015,112,188,,,,,,-1100,,
"AQ","BAHIA DEL DIABLO",2665,2015,188,262,,,,,,-800,,
"AQ","BAHIA DEL DIABLO",2665,2015,262,338,,,,,,-400,,
"AQ","BAHIA DEL DIABLO",2665,2015,338,412,,,,,,-100,,
"AQ","BAHIA DEL DIABLO",2665,2015,412,488,,,,,,600,,
"AQ","BAHIA DEL DIABLO",2665,2015,488,562,,,,,,350,,
"AQ","BAHIA DEL DIABLO",2665,2015,562,630,,,,,,400,,
"AQ","BAHIA DEL DIABLO",2665,2015,9999,9999,12.8999996,,,,,25,30.00000,
"AQ","BAHIA DEL DIABLO",2665,2016,38,112,,,,,,-1625,,
"AQ","BAHIA DEL DIABLO",2665,2016,112,188,,,,,,-1050,,
"AQ","BAHIA DEL DIABLO",2665,2016,188,262,,,,,,-1000,,
"AQ","BAHIA DEL DIABLO",2665,2016,262,338,,,,,,-650,,
"AQ","BAHIA DEL DIABLO",2665,2016,338,412,,,,,,-50,,
"AQ","BAHIA DEL DIABLO",2665,2016,412,488,,,,,,-250,,
"AQ","BAHIA DEL DIABLO",2665,2016,488,562,,,,,,250,,
"AQ","BAHIA DEL DIABLO",2665,2016,562,630,,,,,,100,,
"AQ","BAHIA DEL DIABLO",2665,2016,9999,9999,12.9000000,,,,,-561,,
"AQ","BAHIA DEL DIABLO",2665,2017,38,112,,,,,,-1400,,
"AQ","BAHIA DEL DIABLO",2665,2017,112,188,,,,,,-850,,
"AQ","BAHIA DEL DIABLO",2665,2017,188,262,,,,,,-730,,
"AQ","BAHIA DEL DIABLO",2665,2017,262,338,,,,,,-500,,
"AQ","BAHIA DEL DIABLO",2665,2017,338,412,,,,,,-150,,
"AQ","BAHIA DEL DIABLO",2665,2017,412,488,,,,,,-30,,
"AQ","BAHIA DEL DIABLO",2665,2017,488,562,,,,,,25,,
"AQ","BAHIA DEL DIABLO",2665,2017,562,630,,,,,,15,,
"AQ","BAHIA DEL DIABLO",2665,2017,9999,9999,,,,,,-380,,
"AQ","BAHIA DEL DIABLO",2665,2018,9999,9999,,,,,,-130,,"preliminary mass balance"
"AQ","BELLINGSHAUSEN",6833,2008,9999,9999,11.0200004,654,,-736,,-82,,
"AQ","BELLINGSHAUSEN",6833,2009,9999,9999,11.0200004,565,,-1259,,-694,,
"AQ","BELLINGSHAUSEN",6833,2010,9999,9999,11.0200004,801,,-426,,375,,
"AQ","BELLINGSHAUSEN",6833,2011,9999,9999,11.0200004,1023,,-941,,93,,
"AQ","BELLINGSHAUSEN",6833,2012,9999,9999,11.0200004,710,,-1139,,-429,,
"AQ","COMMONWEALTH",878,1994,9999,9999,52.2000007,36,23.00000,-32,15.00000,4,27.00000,
"AQ","COMMONWEALTH",878,1995,9999,9999,52.2000007,51,26.00000,1,14.00000,52,29.00000,
"AQ","COMMONWEALTH",878,1996,9999,9999,52.2000007,-14,22.00000,-7,11.00000,-21,25.00000,
"AQ","COMMONWEALTH",878,1997,9999,9999,52.2000007,9,18.00000,27,17.00000,36,25.00000,
"AQ","COMMONWEALTH",878,1998,9999,9999,52.2000007,41,31.00000,-10,9.000000,31,32.00000,
"AQ","COMMONWEALTH",878,1999,9999,9999,52.2000007,5,18.00000,-21,27.00000,-16,33.00000,
"AQ","COMMONWEALTH",878,2000,9999,9999,52.2000007,14,18.00000,-24,23.00000,-10,29.00000,
"AQ","COMMONWEALTH",878,2001,9999,9999,52.2000007,2,22.00000,-6,10.00000,-4,25.00000,
"AQ","COMMONWEALTH",878,2002,9999,9999,52.2000007,-3,36.00000,-132,103.0000,-135,110.0000,
"AQ","COMMONWEALTH",878,2003,9999,9999,52.2000007,11,25.00000,6,14.00000,17,29.00000,
"AQ","COMMONWEALTH",878,2004,9999,9999,52.2000007,-36,36.00000,11,15.00000,-25,39.00000,
"AQ","COMMONWEALTH",878,2005,9999,9999,52.2000007,-27,48.00000,-9,47.00000,-36,67.00000,
"AQ","COMMONWEALTH",878,2006,9999,9999,52.2000007,52,51.00000,-20,21.00000,32,55.00000,
"AQ","COMMONWEALTH",878,2007,9999,9999,52.2000007,-3,29.00000,-30,29.00000,-33,41.00000,
"AQ","COMMONWEALTH",878,2008,9999,9999,52.2000007,-5,17.00000,-2,19.00000,-7,26.00000,
"AQ","COMMONWEALTH",878,2009,9999,9999,52.2000007,0,31.00000,-48,25.00000,-48,40.00000,
"AQ","COMMONWEALTH",878,2010,9999,9999,52.2000007,1,23.00000,8,19.00000,10,30.00000,
"AQ","COMMONWEALTH",878,2011,9999,9999,52.2000007,34,29.00000,-53,106.0000,-19,108.0000,
"AQ","COMMONWEALTH",878,2012,9999,9999,52.2000007,12,33.00000,-25,20.00000,-12,39.00000,
"AQ","COMMONWEALTH",878,2013,9999,9999,52.2000007,,,,,26,34.00000,
"AQ","DAVIES DOME",10404,2010,9999,9999,6.4900000,,,,,190,150.0000,
"AQ","DAVIES DOME",10404,2011,9999,9999,6.4900000,,,,,80,120.0000,
"AQ","DAVIES DOME",10404,2012,9999,9999,6.4900000,,,,,-210,170.0000,
"AQ","DAVIES DOME",10404,2013,9999,9999,6.4900000,,,,,110,200.0000,
"AQ","DAVIES DOME",10404,2014,9999,9999,6.4900000,,,,,40,100.0000,
"AQ","DAVIES DOME",10404,2015,9999,9999,6.4900000,,,,,-90,130.0000,
"AQ","FLAGSTAFF",3974,1958,9999,9999,,,,,,-537,,
"AQ","G1",3925,1969,9999,9999,,,,,,-10,,
"AQ","G1",3925,1970,9999,9999,,,,,,-300,,
"AQ","G1",3925,1971,9999,9999,,,,,,-560,,
"AQ","G1",3925,1972,9999,9999,,,,,,-900,,
"AQ","G1",3925,1973,9999,9999,,,,,,-600,,
"AQ","G1",3925,1974,9999,9999,,,,,,-100,,
"AQ","GALINDEZ ICE CAP",3975,1960,9999,9999,,,,,,116,,"Multi-annual observation (695 mm w.e.) evenly distributed to corresponding years."
"AQ","GALINDEZ ICE CAP",3975,1961,9999,9999,,,,,,116,,"Multi-annual observation (695 mm w.e.) evenly distributed to corresponding years."
"AQ","GALINDEZ ICE CAP",3975,1962,9999,9999,,,,,,116,,"Multi-annual observation (695 mm w.e.) evenly distributed to corresponding years."
"AQ","GALINDEZ ICE CAP",3975,1963,9999,9999,,,,,,116,,"Multi-annual observation (695 mm w.e.) evenly distributed to corresponding years."
"AQ","GALINDEZ ICE CAP",3975,1964,9999,9999,,,,,,116,,"Multi-annual observation (695 mm w.e.) evenly distributed to corresponding years."
"AQ","GALINDEZ ICE CAP",3975,1965,9999,9999,,,,,,116,,"Multi-annual observation (695 mm w.e.) evenly distributed to corresponding years."
"AQ","HEIMDALL",890,1972,9999,9999,7.9600000,0,,10,,-10,,
"AQ","HEIMDALL",890,1973,9999,9999,7.9600000,-10,,0,,-20,,
"AQ","HEIMDALL",890,1974,9999,9999,7.9600000,0,,20,,-20,,
"AQ","HEIMDALL",890,1975,9999,9999,7.9600000,20,,30,,-10,,
"AQ","HOWARD",3973,1994,9999,9999,8.3000001,33,28.00000,-19,37.00000,14,47.00000,
"AQ","HOWARD",3973,1995,9999,9999,8.3000001,37,44.00000,5,47.00000,42,64.00000,
"AQ","HOWARD",3973,1996,9999,9999,8.3000001,-36,25.00000,0,37.00000,-36,44.00000,
"AQ","HOWARD",3973,1997,9999,9999,8.3000001,13,35.00000,8,27.00000,21,44.00000,
"AQ","HOWARD",3973,1998,9999,9999,8.3000001,12,50.00000,-8,22.00000,4,54.00000,
"AQ","HOWARD",3973,1999,9999,9999,8.3000001,26,35.00000,-14,22.00000,12,41.00000,
"AQ","HOWARD",3973,2000,9999,9999,8.3000001,-9,23.00000,-24,21.00000,-33,31.00000,
"AQ","HOWARD",3973,2001,9999,9999,8.3000001,-14,26.00000,-1,13.00000,-15,29.00000,
"AQ","HOWARD",3973,2002,9999,9999,8.3000001,-12,48.00000,-87,62.00000,-99,78.00000,
"AQ","HOWARD",3973,2003,9999,9999,8.3000001,-17,29.00000,-2,62.00000,-19,68.00000,
"AQ","HOWARD",3973,2004,9999,9999,8.3000001,-47,26.00000,16,21.00000,-31,33.00000,
"AQ","HOWARD",3973,2005,9999,9999,8.3000001,-40,116.0000,12,21.00000,-28,118.0000,
"AQ","HOWARD",3973,2006,9999,9999,8.3000001,31,33.00000,-7,25.00000,24,42.00000,
"AQ","HOWARD",3973,2007,9999,9999,8.3000001,-35,58.00000,-27,36.00000,-62,68.00000,
"AQ","HOWARD",3973,2008,9999,9999,8.3000001,-15,22.00000,-4,18.00000,-19,29.00000,
"AQ","HOWARD",3973,2009,9999,9999,8.3000001,20,48.00000,-42,27.00000,-22,55.00000,
"AQ","HOWARD",3973,2010,9999,9999,8.3000001,-18,28.00000,5,25.00000,-12,38.00000,
"AQ","HOWARD",3973,2011,9999,9999,8.3000001,24,41.00000,-47,34.00000,-21,53.00000,
"AQ","HOWARD",3973,2012,9999,9999,8.3000001,-12,31.00000,-17,48.00000,-28,57.00000,
"AQ","HOWARD",3973,2013,9999,9999,8.3000001,,,,,27,75.00000,
"AQ","HURD",3367,2002,9999,9999,4.0340000,530,50.00000,-670,50.00000,-140,70.00000,
"AQ","HURD",3367,2003,9999,9999,4.0340000,540,50.00000,-1060,50.00000,-520,70.00000,
"AQ","HURD",3367,2004,9999,9999,4.0340000,630,75.00000,-620,50.00000,10,90.00000,
"AQ","HURD",3367,2005,9999,9999,4.0340000,610,75.00000,-730,50.00000,-120,90.00000,
"AQ","HURD",3367,2006,9999,9999,4.0340000,560,50.00000,-1420,50.00000,-860,70.00000,
"AQ","HURD",3367,2007,9999,9999,4.0340000,350,50.00000,-890,50.00000,-540,70.00000,
"AQ","HURD",3367,2008,9999,9999,4.0340000,820,50.00000,-630,50.00000,190,70.00000,
"AQ","HURD",3367,2009,9999,9999,4.0340000,510,50.00000,-900,50.00000,-390,70.00000,
"AQ","HURD",3367,2010,9999,9999,4.0340000,740,50.00000,-200,50.00000,540,70.00000,
"AQ","HURD",3367,2011,9999,9999,4.0340000,900,50.00000,-610,50.00000,290,70.00000,"Lower and upper boundary of altitude interval was given as 4 and 334"
"AQ","HURD",3367,2012,9999,9999,4.0340000,520,50.00000,-710,50.00000,-190,70.00000,
"AQ","HURD",3367,2013,9999,9999,4.0340000,780,50.00000,-570,50.00000,210,70.00000,
"AQ","HURD",3367,2014,9999,9999,4.0339999,670,70.00000,-270,70.00000,400,100.0000,
"AQ","HURD",3367,2015,9999,9999,4.0339999,940,50.00000,-380,50.00000,560,70.00000,
"AQ","HURD",3367,2016,9999,9999,4.0339999,670,50.00000,-380,50.00000,290,70.00000,
"AQ","HURD",3367,2017,9999,9999,4.0340000,510,50.00000,-930,50.00000,-420,70.00000,
"AQ","JEREMY SYKES",1063,1972,9999,9999,9.9200000,0,,10,,20,,
"AQ","JEREMY SYKES",1063,1973,9999,9999,9.9200000,-10,,10,,0,,
"AQ","JEREMY SYKES",1063,1974,9999,9999,9.9200000,0,,0,,-10,,
"AQ","JEREMY SYKES",1063,1975,9999,9999,9.9200000,20,,0,,20,,
"AQ","JOHNSONS",3366,2002,9999,9999,5.3580000,710,50.00000,-690,50.00000,20,70.00000,
"AQ","JOHNSONS",3366,2003,9999,9999,5.3580000,690,50.00000,-850,50.00000,-160,70.00000,
"AQ","JOHNSONS",3366,2004,9999,9999,5.3580000,690,50.00000,-610,50.00000,80,70.00000,
"AQ","JOHNSONS",3366,2005,9999,9999,5.3580000,870,50.00000,-650,50.00000,220,70.00000,
"AQ","JOHNSONS",3366,2006,9999,9999,5.3580000,850,50.00000,-1180,50.00000,-330,70.00000,
"AQ","JOHNSONS",3366,2007,9999,9999,5.3580000,440,50.00000,-730,50.00000,-290,70.00000,
"AQ","JOHNSONS",3366,2008,9999,9999,5.3580000,780,50.00000,-690,50.00000,90,70.00000,
"AQ","JOHNSONS",3366,2009,9999,9999,5.3580000,640,50.00000,-810,50.00000,-170,70.00000,
"AQ","JOHNSONS",3366,2010,9999,9999,5.3580000,740,50.00000,-230,50.00000,510,70.00000,
"AQ","JOHNSONS",3366,2011,9999,9999,5.3580000,1150,50.00000,-650,50.00000,500,70.00000,"Lower and upper boundary of altitude interval was given as 0 and 356"
"AQ","JOHNSONS",3366,2012,9999,9999,5.3580000,670,50.00000,-270,50.00000,400,70.00000,
"AQ","JOHNSONS",3366,2013,9999,9999,5.3580000,900,50.00000,-510,50.00000,390,70.00000,
